Storage Bin,Material,Material Description
F0501,5000654,HCl 32%
F0501,5001007,NaOH (Alkali) 48 % liquid
R25L06,5001730,28 Series Flexible Hopper Linier
R23L04,5001731,3ZV-0100-SF1 1 Butterfly Valve
R05L03,5001732,Abient Temperatur Sensor
F0301,5001736,"Acrylic, uk.T= 3 mm"
R21L05,5001737,ACT Programmer Z12 P/N: 87707
R09L01,5001739,Actuator Kinetrol 020 DA PN 024-100
R01L05,5001740,Actuator VC7931ZZ Honeywell
R09L02,5001745,Air Cylinder CVM5T25-50B-15GS-SMC
R02L02,5001746,Air Cylinder CXSL15-150-Y59AS-XB11 SMC
R16L03,5001747,Air duster
R18L05,5001748,Air Filter Element PN 53749220
R10L04,5001750,Air flow sensor Vane anemometer
R21L04,5001751,Air Hydrolik Cylinder SMC PN CDM2B20-25
R18L05,5001752,Air Intake Filter Element PN 12319220
R18L02,5001753,Air Seal Mixer mesin 2 Material Teflon
F0201,5001756,"Alumunium Foil Ducting Double L 1,2 m"
F0201,5001757,Alumunium insert screen uk. 1x25 m
R10L04,5001758,Amplifier Module P+F type: KFD2-UFC-EX1D
R10L04,5001761,Analog Out Put Modul Siemens
R21L04,5001766,Arm Roller Web SUS uk. 252 x 30 x 10 mm
R21L02,5001770,As Agitator hoper filler Ø15x280mmSUS316
R02L02,5001771,As Full Box Roller KD Ø14mmx87mm SUS304
R02L02,5001772,"As Knife Drive KD Ø14mmx87,5mm SUS304"
R21L04,5001773,As motor brake cluth
R21L02,5001774,As pengaduk bahan 12x525mm
R21L04,5001775,As pin 4x27mm
R26L04,5001776,"As pintu Besi  Ø14,3 x 166 mm"
R17L02,5001777,As pompa solar
R21L02,5001778,As roll foil AS uk. 20x500 mm SUS 304
R21L02,5001779,As roll foil uk. 12 x 532 mm
R21L02,5001780,As roll foil uk. 32.8 x 470 mm
R21L02,5001781,As roll foil VGT uk. 20x577 mm SUS 304
R21L02,5001782,As roll pisau Sliter 60 uk. 15 x 535 mm
R02L02,5001783,As Roller KD Ø14mm x 92mm SUS304
R02L02,5001784,As Rubber Pusher SS304 Hex 10x53xM6
R09L03,5001790,"Attachment wtih plate and BB(16707R,8L)"
R17L04,5001791,Auxilary Contact Block LA1KN31 Schneider
R20L03,5001792,"Auxilary Contact Block LAD-N22, 2NO/2NC"
R08L05,5001793,"Auxilary contacts HI11-P1/P3E ""Moeller"""
R04L01,5001796,"Balas lampu LOGO kecil, primer:220V"
R04L02,5001797,Balas lampu PLC 13 Watt/ 220 V
R04L02,5001798,Balas lampu PLS 9 Watt/ 220 V
R04L01,5001799,Balas lampu taman Inqua UST-I50
R04L02,5001800,Balas Lampu TL 20 / 18 W 220V
R04L02,5001801,Balas Lampu TL 40 / 36 W 220V
R11L04,5001802,Balas Lampu UV BA - ICE - S
R02L03,5001803,Ball Bearing L-1360ZZ
R02L03,5001804,Ball Bearing LF-940ZZ
R02L03,5001805,Ball Bearing RF-1340HH
